,0,1,2,3,4,5,6
0,3,景田东路,从景田北三街到莲花路,114.04248999999999,22.553639999999998,22.558538000000002,114.04553
1,13,景田北一街,从景田北二街到景田东路,114.037384,22.556614,22.553257000000002,114.04368000000001
2,15,梅中路,从梅林路到梅华路,114.04518999999999,22.563972,22.567059,114.04632600000001
3,17,福中一路,从海田路到彩田路,114.0656,22.537004,22.536901,114.06793
4,20,泰科路,从梅秀路到梅华路,114.04874,22.563475,22.563644,114.04508
5,26,福中路,从新洲路到皇岗路,114.04947,22.544884,22.544426,114.07296000000001
6,29,海田路,从福华路到滨河大道,114.06553000000001,22.529116000000002,22.534779,114.06551
7,44,欣园路,从景田北二街到景田北三街,114.04021499999999,22.556356,22.55585,114.03966499999999
8,48,景田西路,从莲花路到景田北五街,114.0402,22.556555,22.55215,114.03536000000001
9,55,中心一路,从中心一路东口到民田路,114.05293999999999,22.529484,22.53399,114.0531
10,66,凯丰路,从北环大道到梅坳八路,114.063965,22.573124,22.564484,114.063736
11,77,欣园路,从景田北二街到景田北一街,114.0402,22.554934,22.555826,114.04111999999999
12,84,鹏程二路,从福中一路到福中路,114.0549,22.544653,22.546648,114.05493
13,97,景田东一街,从景田路到景田东路,114.04265600000001,22.555387,22.554351999999998,114.04446399999999
14,101,泰然四路,从泰然九路到泰然一路,114.02443000000001,22.534679999999998,22.533209,114.03316000000001
15,104,景田南六街,从景田南路到红荔西路,114.042984,22.546,22.543573000000002,114.04218
16,113,景田北四街,从景田北街到景田北二街,114.03571000000001,22.553463,22.555084,114.03764
17,114,景田南三街,从景田东路到新洲路,114.0488,22.544355,22.544386,114.0493
18,163,福中三路,从深南新洲立交桥到彩田路,114.0496,22.542386999999998,22.542173000000002,114.067856
19,184,红荔西路,从农林路到新洲路,114.01718999999999,22.547829999999998,22.540115,114.049255
20,196,中心四路,从福华一路到福华三路,114.05841000000001,22.532574,22.536821,114.05851000000001
21,198,牌坊街,从新洲九街到滨河大道,114.046646,22.527932999999997,22.524391,114.04588000000001
22,219,皇岗路,从北环皇岗立交桥到Ｇ４京港澳高速,114.07258600000002,22.513613,22.568262,114.063286
23,223,下梅林一街,从梅林路到北环大道,114.038025,22.558218,22.56157,114.02866000000002
24,230,香蜜湖路,从北环香蜜立交到车公庙立交,114.01863,22.52979,22.562262,114.03021000000001
25,235,福华五路,从金田路到彩田路,114.06336,22.530924,22.530787,114.06806999999999
26,249,富景路,从景田北一街到景田北三街,114.04295,22.557586999999998,22.556160000000002,114.04099
27,262,石厦北三街,从福民路到石厦北八街,114.054726,22.527231,22.523062,114.05466499999999
28,279,富景路,从景田北三街到景田北一街,114.04098,22.556137,22.557564000000003,114.04292
29,281,福强路,从滨河彩田立交到车公庙立交,114.06811499999999,22.529954999999998,22.527027,114.03027
30,290,海田路,从滨河大道到福华三路,114.06598000000001,22.53284,22.529120000000002,114.06566000000001
31,299,梅星路,从梅村路到梅秀路,114.05391000000002,22.565742,22.566969,114.04803500000001
32,317,景田东路,从新闻路到红荔西路,114.04715,22.547145999999998,22.541635999999997,114.04658
